id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,log_price
9117000170,20150505T000000,268643.0,4,2.25,1810.0,9240,2.0,0,0,3,7,1810,0,1961,0,98055,47.4362,-122.187,1660,9240,12.501142362015882
6700390210,20140708T000000,245000.0,3,2.5,1600.0,2788,2.0,0,0,4,7,1600,0,1992,0,98031,47.4034,-122.187,1720,3605,12.409017571151187
7212660540,20150115T000000,200000.0,4,2.5,1720.0,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.313,1870,7455,12.206077645517674
8562780200,20150427T000000,352499.0,2,2.25,1240.0,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073,1240,750,12.772805901234461
7760400350,20141205T000000,232000.0,3,2.0,1280.0,13356,1.0,0,0,3,7,1280,0,1994,0,98042,47.3715,-122.074,1590,8071,12.354496960983985
464001025,20140918T000000,722500.0,4,3.5,2600.0,5100,2.0,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720,13.490474083050811
3432500486,20140623T000000,299995.0,2,1.0,1060.0,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,12.611524420216115
1126059095,20140526T000000,880000.0,3,2.0,2130.0,35169,1.0,0,0,4,8,2130,0,1989,0,98072,47.7489,-122.123,2860,43560,13.68767832281738
3876500290,20150305T000000,175000.0,3,1.0,1070.0,6164,1.0,0,0,3,7,1070,0,1967,0,98001,47.3377,-122.291,1320,7920,12.07254696717504
1865400075,20140522T000000,320000.0,3,2.25,998.0,844,2.0,0,0,3,7,798,200,2007,0,98117,47.6983,-122.367,998,1110,12.676079399771027
2558690150,20140707T000000,475000.0,5,2.5,2510.0,8050,1.0,0,0,4,7,1490,1020,1977,0,98034,47.7212,-122.172,1840,8471,13.07107218827772
7154200070,20141124T000000,995000.0,5,3.25,3970.0,8029,2.0,0,2,3,9,2970,1000,1979,0,98177,47.7764,-122.385,2520,8214,13.81049902116535
4139490210,20140730T000000,1285000.0,4,3.5,4080.0,14450,2.0,0,2,3,12,3210,870,1998,0,98006,47.5519,-122.106,4080,12114,14.06627005452127
9264901040,20140516T000000,239900.0,4,2.25,1860.0,7000,1.0,0,0,3,8,1120,740,1979,0,98023,47.3127,-122.339,1990,8937,12.3879816172226
4273000095,20150511T000000,340000.0,4,1.75,1400.0,8374,1.0,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360,12.73670383776449
8691410310,20150213T000000,680000.0,4,2.5,3290.0,6012,2.0,0,0,3,9,3290,0,2005,0,98075,47.5961,-121.98,3210,6005,13.429849547739444
6601200020,20150127T000000,235245.0,4,2.5,1954.0,5075,2.0,0,0,3,8,1954,0,2007,0,98001,47.2606,-122.253,1934,5000,12.368387054114972
8663260030,20141118T000000,416000.0,3,2.5,1800.0,5372,2.0,0,0,3,8,1800,0,1987,0,98034,47.7188,-122.177,1650,6014,12.938442943086665
7016300050,20140723T000000,420000.0,4,2.5,2030.0,8100,1.0,0,0,3,7,1150,880,1973,0,98034,47.7404,-122.186,1770,8071,12.948012371209098
